text,label
🎉👏,2
✨♡,2
🤔  ☕📌,1
побачимо 💢💉💉,0
💩💩😤!!??,0
топ 🩸,0
🤔 📺,1
шок❌⚠⁉❗,0
🤡 🎉 💕,0
💅...📺,1
🙏 🥺🥺🙏 need,2
📻... ☕👀,1
((🤬  треш 🐷,0
🥺  😩 🥺  дайте,2
🙏 🥺🙏 🙏 need,2
---🤮,0
😩🙏 хочу,2
😩🙏 😭,2
✿ 🌙 краса,2
🔥 super,2
👀🤖...📺📻,1
💅 .. 💅 ☕🚶,1
💕🫶красава💕,2
🤡 🫶🔥🥰❤️,0
🚫❗треш,0
🤡 💯😂,0
🤡 💕 🔥,0
▒━░├═░╭─│,1
🐷😤 (((,0
┼║├,1
:) 💕 😍👏,2
☁ ♡⭐ ⭐☀,2
🤡 😂😂,0
😍!!!💕 🫶😂 імба,2
🎉 ))) 👌🇺🇦,2
💕🔥,2
👀 +/-👇,1
💕😍,2
📻 🤖~👇,1
🎉💯:),2
🥺😭 😭будь ласка,2
🗑️🤦‍♂️  🤡  ?!?!🐍,0
📻///,1
🤔😶📻😶..,1
/ 👀,1
💯:) 👍дякую,2
L ?!?!😩,0
║├╭║,1
┤▓░,1
🩸топ,0
... 🤖  ☕ 🤷‍♂️🤷‍♂️,1
👍 ))),2
ок 💊,0
❌‼ ✖ шок,0
❌‼  ⁉cringe ‼,0
👍 😂  🥰база  ))💪,2
🤮 ??😒,0
???😒😩 😩 шок🤡,0
😍 💪 💕  + 😂,2
💣ну давай  💢💊,0
👇📻,1
☕💅👀 /,1
🤝👍 🤝 💕,2
┤│─▒░┬├┤━,1
😍 🫶 ))),2
😂дякую 😍🫶,2
треш👎 🤮 ?!?!🤦‍♂️,0
🤡 💯💕  👏👌,0
🤔💅 🤷‍♂️ 😶,1
┴╭┼─╰▒╮╭┬,1
🇺🇦💕!!!11,2
░╭├┬═│┬━,1
🚶 📌  👇👇/,1
😶  ~,1
👎🤢  🐍🤦‍♂️,0
╰╮═━┬,1
:)🎉,2
😩 🙏need,2
👇 📺/📌,1
💖🎶♡🌿💖,2
🌿 🌿 ♡🌙 топ,2
🔪ну давай💉 🚬,0
😠 bruh😡,0
🤔👀///,1
💊топ 🩸,0
+/- 🤷‍♂️,1
🇺🇦 🤝👏))) лол,2
🤮??  🐷🤡жах,0
мда💢 🚬,0
👍💯😂 ))красава  👍,2
🫶))  👏,2
❤️ 💕🇺🇦 💪,2
☕ 🤔  📻😶,1
👍  😍  💪 🎉,2
🤡 🎉😍🎉,0
║╯━╯║╮┤├═,1
